model,class,accuracy,macro_f1,precision,recall,f1,support
dictionary,overall,0.5333333333333333,0.5309941520467837,,,,30
dictionary,dovish,,,0.4,0.4,0.4,10
dictionary,neutral,,,0.7,0.6363636363636364,0.6666666666666666,11
dictionary,hawkish,,,0.5,0.5555555555555556,0.5263157894736842,9
finbert,overall,0.5,0.4794685990338164,,,,30
finbert,dovish,,,0.3333333333333333,0.2,0.25,10
finbert,neutral,,,0.7,0.6363636363636364,0.6666666666666666,11
finbert,hawkish,,,0.42857142857142855,0.6666666666666666,0.5217391304347826,9
